geneID,A_1_R1,A_1_R2,A_1_R3,A_1_R4,A_1_R5,A_308_R1,A_308_R2,A_308_R3,A_308_R4,A_308_R5,E_1_R1,E_1_R2,E_1_R4,E_1_R5,E_1_R6,E_1_R7,E_1_R8,E_1_R9,E_308_R1,E_308_R2,E_308_R3,E_308_R4,E_308_R6,E_308_R7,E_308_R8
ENSMUSG00000050379,7.040189169,7.294559489,6.695172001,6.518331315,6.901778018,7.526391715,7.563138758,7.702024742,8.062613129,7.282741174,5.79658972,6.115215877,4.99744192,3.578897621,9.35382081,7.833550843,4.703158778,4.579174849,4.203708997,4.84548507,10.97288061,6.065355139,4.843939669,7.953449266,4.901951336
ENSMUSG00000050382,2.354818852,1.811307954,2.53313587,1.556958833,1.861349906,1.516259531,1.255053744,1.672083616,1.521407598,1.494813682,3.207352864,1.244367583,3.673627526,4.031539161,1.002161747,1.172852395,0.82611697,6.479904012,3.501890632,2.830321398,1.110004054,3.736897229,0.84107799,1.507604247,0.54818949
ENSMUSG00000050410,52.79926135,54.25639317,52.42851715,54.36572923,52.70165695,40.26669215,43.95923132,40.17197162,42.12191791,42.76419954,47.23741147,14.84059219,43.85615195,38.88148539,9.938998006,22.32221049,19.34776556,17.86002302,52.96976855,51.28755277,23.22453758,30.12707806,68.07208054,48.54996533,11.32093822
ENSMUSG00000050530,18.17280686,15.61326455,16.75601946,16.5263809,16.88785398,17.65599175,19.94650064,20.57487634,18.89535399,19.04346073,16.19584609,5.478996355,12.33551318,16.0295308,7.959903366,8.561371998,10.03609913,11.57098046,20.85053146,19.67829806,12.48494404,14.08154636,11.48049089,11.17161047,9.922203827
ENSMUSG00000050541,0.692347903,0.794313557,0.518117284,0.887050764,0.822088891,0.900249417,1.286083801,1.050306878,1.052176276,1.020357523,0.018439754,0,0,0,0,0.01714438,0,0,0,0,0,0.016300723,0.015409242,0.085718957,0
ENSMUSG00000050555,1.35606932,1.394514297,1.741490994,1.302860775,1.568004948,0.983420738,1.003500853,1.137097433,1.436729576,0.982276443,2.920785319,1.357348814,2.913696372,2.076322312,1.529533606,1.270848757,1.361794029,2.012802886,2.604162658,3.111024145,1.656308982,2.022332132,2.392670189,2.441283536,1.360509928
ENSMUSG00000050604,0.171981222,0,0.269503837,0.317557437,0.158829424,0.052179064,0.059295,0.053266934,0,0,0.299258564,0,0.538950996,1.154328891,0.131457887,0.765148879,0,0.202569381,0.657330652,0.530379269,0.063795579,0.661360656,0.125038212,0,0
ENSMUSG00000050627,8.403410124,7.803203611,7.800377653,7.431743194,7.543005023,8.126826833,8.337111929,8.784276617,8.569910128,8.273183872,8.854622014,9.846515467,9.472330721,8.785499507,13.83804573,12.90163209,9.106246344,12.56190043,11.1227502,10.02824174,13.33558616,9.03931358,12.42583963,15.45454953,11.99961949
ENSMUSG00000050628,21.69079321,19.57911456,21.58878491,20.78797691,19.09350449,19.65622662,18.1651152,16.05282796,18.57700395,18.25780437,14.83763136,17.67824829,18.84300047,19.25952442,13.07212081,15.91469302,10.65198956,19.937684,18.6808315,20.23685898,14.63139991,29.3471428,13.85376143,16.53709753,18.247049
ENSMUSG00000050663,0.280053894,0.192936826,0.27880488,0.288973192,0.205388627,0.352368488,0.434501389,0.474517582,0.363179916,0.401697738,0,0,0,0.019512529,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050708,4062.367685,4313.733286,4058.386733,4521.837137,4123.55269,5132.317158,4998.723883,4447.081038,5221.611486,4950.838497,3287.580314,2023.958989,3705.200997,3160.549137,2732.847996,2946.13203,5416.391396,4023.726851,5304.193954,5549.009882,3486.965206,3656.96198,5082.232775,3279.168708,3608.890492
ENSMUSG00000050711,0.711129248,0.771489544,0.932558288,0.362823576,0.86414153,2.333576375,3.929336995,4.294966879,3.043824753,3.3873151,0.073267778,0.039384358,0.039096865,0.044331845,0.128739871,0,0,0.374719794,0.021457991,0.043284431,0.020825515,0.043179093,0,0.056765377,0
ENSMUSG00000050737,24.9200807,24.56989485,25.69971448,24.05552003,25.0166722,26.35885438,27.75108417,27.07628205,27.85661101,27.82527636,44.73238574,35.82372882,37.04511027,37.22091144,28.72034022,40.49385983,25.32335626,45.61691751,29.32884285,30.22240175,35.6450934,59.86594227,31.62446783,38.89792862,59.7141215
ENSMUSG00000050777,3.01564023,2.421838407,2.29532574,2.651560187,2.718717129,5.783756708,6.238322445,4.570026629,5.522637107,4.545350262,0,0,0,1.573340904,0.370458553,0,0,3.425137654,1.029116067,0.166072227,0.119853937,0,0.234911607,0,0
ENSMUSG00000050856,71.81045905,76.28970219,62.33082833,62.97902865,56.74554963,64.22047202,48.07592239,41.24648854,40.87348764,42.88596729,31.42055462,36.94644497,38.77256227,26.3388642,44.6660276,83.78534658,46.76051322,35.54630886,45.81909884,73.66925647,41.58463285,56.61235472,62.45081258,45.4751503,51.7460261
ENSMUSG00000050908,2.513001036,3.165984482,3.217152262,2.805074723,3.43534708,2.235640724,2.099973109,2.414173132,2.490112934,2.356817814,1.389656568,1.000974539,1.468255339,1.917101557,1.367399955,2.101709639,0.784172532,1.638846379,1.383765296,1.527000313,1.943369229,1.883630962,1.40900903,2.440426043,1.695975971
ENSMUSG00000050912,45.60839079,47.01017869,43.00426469,46.54657934,51.33122567,56.36712046,52.0304342,50.89297295,57.55350702,53.63051182,47.22394338,35.01051952,52.05632565,47.78887507,51.97719129,55.47739736,43.47592591,33.21993833,36.14497772,35.59399993,55.36703561,45.83645685,49.43891335,55.87165279,72.72508242
ENSMUSG00000050931,5.533302881,5.123566632,5.118677414,5.063584067,5.357424248,5.656728641,6.344248106,6.196833213,5.532939482,6.498173216,5.696513934,2.834438113,4.822356663,6.400223868,4.995411029,4.597380327,4.0656515,5.322896635,8.084328504,10.33056712,4.378976518,4.45538871,5.069996663,3.707966755,2.715280433
ENSMUSG00000050989,46.57369652,46.55533245,45.3058559,42.36770815,47.71832173,45.35090715,49.52905305,51.58997629,50.50648268,48.5864738,41.18627429,32.15944304,44.88294551,36.29642476,36.70142023,44.47621945,29.60701904,34.6618849,34.902216,33.6218888,72.70329411,40.91635845,47.94603858,70.03562286,44.95354491
ENSMUSG00000051041,0.027932064,0,0.131313146,0.077363399,0,0.53389866,0.288909168,0.363353197,0.109473658,0.419137343,0,0.029392184,0.029177631,0,0,0.067783893,0,0,0,0,0.031083781,0,0,0.028242319,0
ENSMUSG00000051048,14.41540929,14.44229857,18.01039301,13.21836684,16.06245994,5.883010325,7.313321398,8.480725397,6.333003309,6.72300746,7.489340971,2.57624999,12.07113669,6.170944879,4.783278201,6.511682398,1.31781213,6.644073375,4.693745705,5.300316416,14.03672656,19.95209232,6.044892496,15.74394704,4.833971606
ENSMUSG00000051154,65.68099786,66.56957319,63.64249794,65.5029358,60.75089997,74.35171728,74.73445682,62.84748588,72.02517666,70.72816989,74.7813015,122.2833921,81.60855743,76.07306819,95.84555285,117.4426406,124.3583027,66.72472716,66.50924798,68.47292481,139.8745283,77.74181704,127.5543729,110.2952892,198.7852602
ENSMUSG00000051177,2.392592878,1.958355897,2.647695288,1.75596762,1.719287499,1.229564661,1.244314418,1.867187439,1.369710404,1.481221525,0.903405754,0.332388119,1.123274198,1.106507789,0.123292218,0.269107766,0.141731909,0.657036761,0.616499746,0.279806684,0.598328381,0.938172626,0.065965111,0.448497546,0.00663489
ENSMUSG00000051223,118.1495321,124.0559023,121.8999648,122.5098793,122.5153598,134.4411085,137.7416572,131.8621434,136.1938385,131.3734961,113.4166989,136.2471422,99.34335831,123.7630227,77.03298198,86.64905468,161.8640914,81.93901839,125.5327886,120.5440145,85.84773281,89.51557436,126.1221993,85.80874187,68.61731403
ENSMUSG00000051235,2.795546127,2.75358404,2.35887687,2.038280888,2.105130891,1.500605035,1.275230811,1.598494766,1.713714589,1.142837076,4.527664489,0.512908381,4.073314546,4.024401152,0.246558616,0.226135574,1.52604539,3.174553639,4.060253152,3.431935941,0.765780138,2.513936005,1.031879465,1.362565013,0.183988351
ENSMUSG00000051242,2.403346104,2.410574811,2.143821424,2.19040136,2.788673819,3.042901966,2.868286436,2.791413998,3.351130232,3.467658378,4.503669968,4.150118635,7.467181246,0.748163374,3.992059748,6.112698229,1.516168013,1.252084327,0.529952667,0.498869011,3.428881878,4.852135777,1.831349357,5.763559378,3.635001075
ENSMUSG00000051262,0.28430577,0.145297005,0.31591592,0.143171145,0.119347389,0.494024845,0.641597295,0.7204638,0.911679314,0.824148077,0.033730269,0,0.053997043,0,0,0,0,0.030442882,0,0,0,0.059635047,0,0,0.127578625
ENSMUSG00000051285,12.80088803,12.69324299,14.66626283,12.93939326,14.3890796,14.34517359,14.9523471,15.50518791,13.76774584,13.90355152,14.2756402,5.660635746,18.77490185,10.81489004,8.271922199,8.721184254,6.115801797,11.34795065,7.983627528,6.325218814,8.729361781,13.56404947,5.434979951,7.303786543,5.98563208
ENSMUSG00000051306,3.517807849,3.467199496,3.857384198,3.289934498,3.670714182,2.386875619,3.20382936,3.098861524,2.972323531,2.793587821,8.824089893,3.586320038,8.943303472,7.554186004,1.864782825,2.139745773,2.53250319,4.660065806,6.28617898,5.177787709,2.969101503,6.946649353,1.843470089,3.298199553,1.353061592
ENSMUSG00000051316,3.646723709,3.493033479,4.668634269,3.547138168,3.788831678,3.289609327,2.559509377,3.554844645,3.014832986,2.824619255,6.097664971,6.235697699,6.921436588,5.476385977,4.106524302,4.681625525,5.640316469,3.930985777,4.25611934,3.294804627,8.859200092,3.793890487,5.024516316,7.670754567,5.978781823
